epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,0.8674029590828078,0.7952930363161224,0.07210992021126524,0.3033956795930862,0.2351011574268341,0.06829452440142632
2,0.1557326251640916,0.11956133833155036,0.03617128676601818,0.0842271588742733,0.06520275808870793,0.019024401158094405
3,0.04489626406159784,0.040637479961982796,0.004258783989306332,0.026785102486610413,0.026751510426402093,3.3592048930586314e-05
4,0.022459291986056736,0.022444036190531085,1.5255661959859676e-05,0.021305764466524123,0.02128903642296791,1.6728036098356824e-05
5,0.020066297047638466,0.020048346037843397,1.7950890261480318e-05,0.01928176935762167,0.019263731315732002,1.8038324742519763e-05
6,0.01890059484035841,0.01888412523216435,1.646976712826082e-05,0.018882045149803163,0.018867423199117182,1.4622290655097458e-05
7,0.01814804409098412,0.018135575943493416,1.2468213591481409e-05,0.018180622719228268,0.018170295655727385,1.0327360450901324e-05
8,0.017837726145184467,0.017828882971246327,8.843311036343948e-06,0.017548445612192154,0.017541000805795192,7.444717584803584e-06
9,0.017582430155016482,0.017575921374373138,6.508646143694412e-06,0.017675980273634196,0.017670248728245498,5.731766577810049e-06
10,0.017226078830260252,0.017221137581925307,4.941315791841459e-06,0.01730554858222604,0.017301284428685903,4.2640905576263325e-06
11,0.017123546418068663,0.017119513425443853,4.032978072895535e-06,0.01771745374426246,0.017713511362671852,3.942201510653831e-06
12,0.017098357235746726,0.017094753782397935,3.603415929579309e-06,0.017500117979943754,0.017496565729379653,3.5524328723113285e-06
13,0.016731395502574742,0.01672821057893868,3.184960121416225e-06,0.017487403098493816,0.01748466892167926,2.73388729965518e-06
14,0.01694383380735027,0.01694122304408146,2.610816279359694e-06,0.017505891248583795,0.017503404803574086,2.4864604938557023e-06
15,0.016593869692379876,0.016591261074479138,2.6085933687422117e-06,0.016994094662368297,0.016991801746189594,2.292876479259576e-06
16,0.016544580858732973,0.016542560371038104,2.020420445043263e-06,0.017845522984862326,0.017843405716121197,2.1172168089833576e-06
17,0.016604099139970328,0.01660199721144246,2.1019179265684736e-06,0.017174706049263477,0.017172808200120925,1.8980380900757154e-06
18,0.016455182522934462,0.01645337663857,1.8059341532047516e-06,0.017057374119758606,0.01705575343221426,1.6206763689297076e-06
19,0.016329167327577516,0.016327522112987936,1.6453295493030445e-06,0.016463598515838385,0.016461894288659094,1.7045682739080803e-06
20,0.01624438021930733,0.016242700179905763,1.6799829601105948e-06,0.016544226463884114,0.01654263148084283,1.595118783370708e-06
21,0.016087074032319442,0.016085766987609013,1.3070065644374803e-06,0.016442818753421306,0.01644132090732455,1.4978514514041307e-06
22,0.01624478551093489,0.016243410779030194,1.3746858574644908e-06,0.016521346848458053,0.016520012449473143,1.33408919964495e-06
23,0.016088188709025935,0.016086915707481757,1.2730122510414991e-06,0.016218719817698003,0.01621762728318572,1.0925818969553802e-06
24,0.016062560873771354,0.01606142949978156,1.1314601583275622e-06,0.016699890606105328,0.01669875867664814,1.1320422686367237e-06
25,0.015972760655651137,0.01597163834542568,1.1223130310814407e-06,0.01649104580283165,0.01649005152285099,9.94377774077293e-07
26,0.01586042607336172,0.015859408453772112,1.017590277691787e-06,0.016770480200648308,0.016769540309906007,9.395966799274902e-07
27,0.016019907480637943,0.0160188597427415,1.0477248001247323e-06,0.01651181895285845,0.01651036161929369,1.4572284385394596e-06
28,0.015843677085026035,0.01584253416928862,1.142870315464149e-06,0.016577196773141623,0.01657608337700367,1.1133680800412548e-06
29,0.015841607553219155,0.015840718489406363,8.890134008002601e-07,0.016065703146159648,0.01606469750404358,1.0058337352347734e-06
